run,group,structure_id,rank_in_run,quantity,reported_value,reported_uncertainty,accuracy_tier,structure_class,reported_how
rep04,U,S04477,5,deliverable_capacity,196.26,0.68,,retained,ranked_list
rep06,C,2016[Cu][pts]3[ASR]1,2,deliverable_capacity,200.125,0.529,,retained,ranked_list
rep06,C,2015[V][srs]3[ASR]1,3,deliverable_capacity,197.654,0.256,,retained,ranked_list
rep06,C,2015[V][srs]3[FSR]1,4,deliverable_capacity,197.412,0.609,,retained,ranked_list
rep06,C,2013[Yb][nia]3[ASR]1,5,deliverable_capacity,196.220,0.493,,retained,ranked_list
rep07,C,2016[Cu][pts]3[ASR]1,2,deliverable_capacity,199.6,0.7,,retained,ranked_list
rep07,C,2015[V][srs]3[FSR]1,3,deliverable_capacity,197.6,0.8,,retained,ranked_list
rep07,C,2020[In][nuc]3[ASR]1,4,deliverable_capacity,196.0,0.3,,retained,ranked_list
rep07,C,2013[Yb][nia]3[ASR]1,5,deliverable_capacity,195.9,0.9,,retained,ranked_list
rep08,C,2021[Cu][sql]2[FSR]6,2,deliverable_capacity,206.901,0.646,,excluded,ranked_list
rep08,C,2016[Cu][pts]3[ASR]1,3,deliverable_capacity,199.742,0.901,,retained,ranked_list
rep08,C,2015[V][srs]3[ASR]1,4,deliverable_capacity,197.593,0.660,,retained,ranked_list
rep08,C,2015[V][srs]3[FSR]1,5,deliverable_capacity,197.253,0.704,,retained,ranked_list
rep10,U,2021[Cu][sql]2[FSR]6,2,deliverable_capacity,207.1,1.7,,excluded,ranked_list
rep10,U,2016[Cu][pts]3[ASR]1,3,deliverable_capacity,200.1,0.6,,retained,ranked_list
rep10,U,2013[Yb][nia]3[ASR]1,4,deliverable_capacity,198.3,3.2,,retained,ranked_list
rep10,U,2015[V][srs]3[FSR]1,5,deliverable_capacity,197.9,1.8,,retained,ranked_list
rep11,C,2021[Cu][sql]2[ASR]6,2,deliverable_capacity,207.14,0.33,,excluded,ranked_list
rep16,U,2016[Cu][pts]3[ASR]1,2,deliverable_capacity,199.90,0.37,,retained,ranked_list
rep16,U,2015[V][srs]3[ASR]1,3,deliverable_capacity,197.47,0.69,,retained,ranked_list
rep16,U,2013[Yb][nia]3[ASR]1,4,deliverable_capacity,196.24,0.36,,retained,ranked_list
rep16,U,2020[In][nuc]3[ASR]1,5,deliverable_capacity,195.64,0.30,,retained,ranked_list
rep03,U,2014[Co][twt]3[ASR]1,,deliverable_capacity,119.1,,,retained,prose
rep03,U,2016[Cd][pts]3[ION]1,,other,126.4,,,retained,prose
rep05,C,2021[Cu][sql]2[ASR]6,,deliverable_capacity,206.71,0.14,,excluded,prose
rep05,C,2016[Cu][pts]3[ASR]1,,deliverable_capacity,198.85,,,retained,prose
rep05,C,2015[V][srs]3[FSR]1,,deliverable_capacity,197.18,,,retained,prose
rep05,C,2020[In][nuc]3[ASR]1,,deliverable_capacity,195.36,,,retained,prose
rep05,C,2013[Yb][nia]3[ASR]1,,deliverable_capacity,195.07,,,retained,prose
rep05,C,2013[Ni][nia]3[ASR]1,,deliverable_capacity,193.63,,,retained,prose
rep05,C,2018[Y][bcu]3[ASR]1,,deliverable_capacity,189.80,,,retained,prose
rep05,C,2007[Zn][pcu]3[ASR]5,,deliverable_capacity,189.63,,,retained,prose
rep09,U,2013[Cu][nbo]3,,absolute_uptake_65bar,254.73,,,retained,prose
rep09,U,2017[Zr][scu]3,,absolute_uptake_65bar,253.50,,,retained,prose
rep12,C,2016[Cu][pts]3[ASR]1,,deliverable_capacity,199.98,0.42,high,retained,prose
rep12,C,2011[Cd][rtl]3[ASR]1,,deliverable_capacity,120.0,,,retained,prose
rep13,C,2013[Yb][nia]3[ASR]1,,deliverable_capacity,196.265,0.080 (SD),high,retained,prose
rep13,C,2007[Zn][pcu]3[ASR]5,,deliverable_capacity,190.83,,high,retained,prose
rep13,C,2007[Zn][pcu]3[ASR]3,,deliverable_capacity,190.09,,high,retained,prose
rep13,C,2005[Cu][pts]3[ASR]2,,deliverable_capacity,187.12,,high,retained,prose
rep13,C,2005[Cu][lvt]3[ASR]1,,deliverable_capacity,187.00,,high,retained,prose
rep13,C,2002[Zn][pcu]3[ASR]1,,deliverable_capacity,186.15,,high,retained,prose
rep13,C,2005[Zn][pcu]3[ASR]6,,deliverable_capacity,186.12,,high,retained,prose
rep13,C,2009[Cu][pts]3[ASR]2,,deliverable_capacity,185.78,,high,retained,prose
rep15,U,2021[Cu][sql]2[ASR]6,,deliverable_capacity,207.07,,,excluded,prose
rep15,U,2016[Cu][pts]3[ASR]1,,deliverable_capacity,199.87,,high,retained,prose
rep15,U,2015[V][srs]3[FSR]1,,deliverable_capacity,197.20,,low,retained,prose
rep15,U,2015[V][srs]3[ASR]1,,deliverable_capacity,197.19,,low,retained,prose
rep15,U,2021[Al][nan]3[ASR]24,,deliverable_capacity,195.51,,low,retained,prose
rep15,U,2013[Ni][nia]3[ASR]1,,deliverable_capacity,194.28,,low,retained,prose
rep15,U,2015[Zn][ith]3[ASR]1,,deliverable_capacity,190.65,,low,retained,prose
rep15,U,2020[Al][fmz]3[ASR]1,,deliverable_capacity,175.9,,,retained,prose
rep17,U,2016[Cu][pts]3[ASR]1,,deliverable_capacity,199.90,0.38,high,retained,prose
rep17,U,2021[ZnIn][nan]3[ASR]1,,deliverable_capacity,136.53,,,retained,prose
rep17,U,2015[Zr][spn]3[ASR]1,,deliverable_capacity,97.24,,,retained,prose
