stem,stage,grade,init_cycles,prod_cycles,job,walltime,nsim,quartile,attempt,status,job_id
2007[Fe][dia]3[FSR]2,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2007[Fe][dia]3[FSR]2,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2007[Mn][dia]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2007[Mn][dia]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2010[La][flu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2010[La][flu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2018[Al][nan]3[FSR]4,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2018[Al][nan]3[FSR]4,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2021[Cu][sql]2[FSR]6,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1952,2,1,submitted,scr1_0_0001.pbs
2021[Cu][sql]2[FSR]6,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1952,2,1,submitted,scr1_0_0001.pbs
2015[Tb][nan]3[FSR]5,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1968,2,1,submitted,scr1_0_0001.pbs
2015[Tb][nan]3[FSR]5,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1968,2,1,submitted,scr1_0_0001.pbs
2020[Co][rob]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1980,2,1,submitted,scr1_0_0001.pbs
2020[Co][rob]3[FSR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1980,2,1,submitted,scr1_0_0001.pbs
2012[Co][sit]3[ASR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1984,2,1,submitted,scr1_0_0001.pbs
2012[Co][sit]3[ASR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1984,2,1,submitted,scr1_0_0001.pbs
2016[Co][nan]3[ASR]6,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1998,2,1,submitted,scr1_0_0001.pbs
2016[Co][nan]3[ASR]6,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1998,2,1,submitted,scr1_0_0001.pbs
2007[ZnV][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,2016,2,1,submitted,scr1_0_0001.pbs
2007[ZnV][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0001,11:23:00,2016,2,1,submitted,scr1_0_0001.pbs
2014[Ni][gfy]3[ION]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2014[Ni][gfy]3[ION]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2016[VCu][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2016[VCu][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2020[Cu][she]3[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2020[Cu][she]3[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2022[Cu][nan]3[ION]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2022[Cu][nan]3[ION]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2016,2,1,submitted,scr1_0_0002.pbs
2015[Zn][sql]2[ASR]4,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2040,2,1,submitted,scr1_0_0002.pbs
2015[Zn][sql]2[ASR]4,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2040,2,1,submitted,scr1_0_0002.pbs
2021[Pr][kgd]2[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2048,2,1,submitted,scr1_0_0002.pbs
2021[Pr][kgd]2[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2048,2,1,submitted,scr1_0_0002.pbs
2022[Cd][sql]2[FSR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2052,2,1,submitted,scr1_0_0002.pbs
2022[Cd][sql]2[FSR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2052,2,1,submitted,scr1_0_0002.pbs
2016[Cu][nbo]3[ASR]23,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2064,2,1,submitted,scr1_0_0002.pbs
2016[Cu][nbo]3[ASR]23,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2064,2,1,submitted,scr1_0_0002.pbs
2014[Cd][nan]3[ASR]3,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2080,2,1,submitted,scr1_0_0002.pbs
2014[Cd][nan]3[ASR]3,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2080,2,1,submitted,scr1_0_0002.pbs
2019[Co][nan]2[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2088,2,1,submitted,scr1_0_0002.pbs
2019[Co][nan]2[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2088,2,1,submitted,scr1_0_0002.pbs
2015[Yb][rob]3[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2096,2,1,submitted,scr1_0_0002.pbs
2015[Yb][rob]3[ASR]1,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2096,2,1,submitted,scr1_0_0002.pbs
2014[Co][nan]3[FSR]27,stage0,claim,10000,50000,scr1_0_0002,11:54:00,2106,2,1,submitted,scr1_0_0002.pbs
2009[Ag][nbo]3[ION]4,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2016[Cu][sqc]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2016[Cu][sqc]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2017[Ag][hcb]2[FSR]17,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2017[Ag][hcb]2[FSR]17,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2019[Cd][sql]2[ASR]12,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2019[Cd][sql]2[ASR]12,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2376,2,1,submitted,scr1_0_0003.pbs
2015[Tb][sra]3[ASR]3,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2400,2,1,submitted,scr1_0_0003.pbs
2015[Tb][sra]3[ASR]3,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2400,2,1,submitted,scr1_0_0003.pbs
2005[Cd][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2412,2,1,submitted,scr1_0_0003.pbs
2005[Cd][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2412,2,1,submitted,scr1_0_0003.pbs
2010[Co][bcg]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2412,2,1,submitted,scr1_0_0003.pbs
2010[Co][bcg]3[ASR]1,stage0,claim,10000,50000,scr1_0_0003,13:38:00,2412,2,1,submitted,scr1_0_0003.pbs
2008[La][nan]3[FSR]2,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2008[La][nan]3[FSR]2,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2014[Al][bpq]3[ASR]5,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2014[Al][bpq]3[ASR]5,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2019[Th][bcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2019[Th][bcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2432,3,1,submitted,scr1_0_0004.pbs
2007[CdFe][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2007[CdFe][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2009[Ni][xbe]3[ASR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2009[Ni][xbe]3[ASR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2015[Ni][mog]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2015[Ni][mog]3[FSR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2017[Ce][sql]2[ASR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2017[Ce][sql]2[ASR]1,stage0,claim,10000,50000,scr1_0_0004,13:50:00,2448,3,1,submitted,scr1_0_0004.pbs
2023[Eu][nan]3[FSR]2,stage1,floor,2000,10000,scr1_1_0005,26:11:00,23166,4,1,submitted,scr1_1_0005.pbs
2023[Eu][nan]3[FSR]2,stage1,floor,2000,10000,scr1_1_0005,26:11:00,23166,4,1,submitted,scr1_1_0005.pbs
2019[V][nan]3[FSR]3,stage0,claim,10000,50000,s0rq_000_p05,41:29:00,1836,,2,submitted,s0rq_000_p05.pbs
2019[V][nan]3[FSR]3,stage0,claim,10000,50000,s0rq_001_p65,41:29:00,1836,,2,submitted,s0rq_001_p65.pbs
2021[Cu][pcu]3[FSR]1,stage0,claim,10000,50000,s0rq_002_p05,41:29:00,1836,,2,submitted,s0rq_002_p05.pbs
2021[Cu][pcu]3[FSR]1,stage0,claim,10000,50000,s0rq_003_p65,41:29:00,1836,,2,submitted,s0rq_003_p65.pbs
2003[Co][nan]3[FSR]3,stage0,claim,10000,50000,s0rq_004_p05,41:34:00,1840,,2,submitted,s0rq_004_p05.pbs
2003[Co][nan]3[FSR]3,stage0,claim,10000,50000,s0rq_005_p65,41:34:00,1840,,2,submitted,s0rq_005_p65.pbs
2024[Cd][nan]3[FSR]5,stage0,claim,10000,50000,s0rq_006_p05,41:34:00,1840,,2,submitted,s0rq_006_p05.pbs
2024[Cd][nan]3[FSR]5,stage0,claim,10000,50000,s0rq_007_p65,41:34:00,1840,,2,submitted,s0rq_007_p65.pbs
2022[Sc][qtz]3[ASR]1,stage0,claim,10000,50000,s0rq_008_p05,42:18:00,1872,,2,submitted,s0rq_008_p05.pbs
2022[Sc][qtz]3[ASR]1,stage0,claim,10000,50000,s0rq_009_p65,42:18:00,1872,,2,submitted,s0rq_009_p65.pbs
2023[Cd][hcb]2[ASR]1,stage0,claim,10000,50000,s0rq_010_p05,42:18:00,1872,,2,submitted,s0rq_010_p05.pbs
2023[Cd][hcb]2[ASR]1,stage0,claim,10000,50000,s0rq_011_p65,42:18:00,1872,,2,submitted,s0rq_011_p65.pbs
2018[Zn][sql]2[FSR]24,stage0,claim,10000,50000,s0rq_012_p05,42:40:00,1888,,2,submitted,s0rq_012_p05.pbs
2018[Zn][sql]2[FSR]24,stage0,claim,10000,50000,s0rq_013_p65,42:40:00,1888,,2,submitted,s0rq_013_p65.pbs
2012[Cd][ant]3[ASR]1,stage0,claim,10000,50000,s0rq_014_p05,42:50:00,1896,,2,submitted,s0rq_014_p05.pbs
2012[Cd][ant]3[ASR]1,stage0,claim,10000,50000,s0rq_015_p65,42:50:00,1896,,2,submitted,s0rq_015_p65.pbs
2021[Mn][sql]2[FSR]1,stage0,claim,10000,50000,s0rq_016_p05,43:01:00,1904,,2,submitted,s0rq_016_p05.pbs
2021[Mn][sql]2[FSR]1,stage0,claim,10000,50000,s0rq_017_p65,43:01:00,1904,,2,submitted,s0rq_017_p65.pbs
2004[Cu][sra]3[ASR]1,stage0,claim,10000,50000,s0rq_018_p05,43:23:00,1920,,2,submitted,s0rq_018_p05.pbs
2004[Cu][sra]3[ASR]1,stage0,claim,10000,50000,s0rq_019_p65,43:23:00,1920,,2,submitted,s0rq_019_p65.pbs
2001[Co][nan]3[ASR]1,stage0,claim,10000,50000,s0rq_020_p05,43:43:00,1935,,2,submitted,s0rq_020_p05.pbs
2001[Co][nan]3[ASR]1,stage0,claim,10000,50000,s0rq_021_p65,43:43:00,1935,,2,submitted,s0rq_021_p65.pbs
2006[Mg][dia]3[FSR]3,stage0,claim,10000,50000,s0rq_022_p05,43:55:00,1944,,2,submitted,s0rq_022_p05.pbs
2014[Ni][gfy]3[ION]1,stage0,claim,10000,50000,s0rq_023_p05,45:33:00,2016,,2,submitted,s0rq_023_p05.pbs
2014[Ni][gfy]3[ION]1,stage0,claim,10000,50000,s0rq_024_p65,45:33:00,2016,,2,submitted,s0rq_024_p65.pbs
2016[VCu][pcu]3[FSR]1,stage0,claim,10000,50000,s0rq_025_p05,45:33:00,2016,,2,submitted,s0rq_025_p05.pbs
2016[VCu][pcu]3[FSR]1,stage0,claim,10000,50000,s0rq_026_p65,45:33:00,2016,,2,submitted,s0rq_026_p65.pbs
2020[Cu][she]3[ASR]1,stage0,claim,10000,50000,s0rq_027_p05,45:33:00,2016,,2,submitted,s0rq_027_p05.pbs
2020[Cu][she]3[ASR]1,stage0,claim,10000,50000,s0rq_028_p65,45:33:00,2016,,2,submitted,s0rq_028_p65.pbs
2022[Cu][nan]3[ION]1,stage0,claim,10000,50000,s0rq_029_p05,45:33:00,2016,,2,submitted,s0rq_029_p05.pbs
2022[Cu][nan]3[ION]1,stage0,claim,10000,50000,s0rq_030_p65,45:33:00,2016,,2,submitted,s0rq_030_p65.pbs
2015[Zn][sql]2[ASR]4,stage0,claim,10000,50000,s0rq_031_p05,46:06:00,2040,,2,submitted,s0rq_031_p05.pbs
2015[Zn][sql]2[ASR]4,stage0,claim,10000,50000,s0rq_032_p65,46:06:00,2040,,2,submitted,s0rq_032_p65.pbs
2021[Pr][kgd]2[ASR]1,stage0,claim,10000,50000,s0rq_033_p05,46:16:00,2048,,2,submitted,s0rq_033_p05.pbs
2021[Pr][kgd]2[ASR]1,stage0,claim,10000,50000,s0rq_034_p65,46:16:00,2048,,2,submitted,s0rq_034_p65.pbs
2022[Cd][sql]2[FSR]1,stage0,claim,10000,50000,s0rq_035_p05,46:22:00,2052,,2,submitted,s0rq_035_p05.pbs
2022[Cd][sql]2[FSR]1,stage0,claim,10000,50000,s0rq_036_p65,46:22:00,2052,,2,submitted,s0rq_036_p65.pbs
2016[Cu][nbo]3[ASR]23,stage0,claim,10000,50000,s0rq_037_p05,46:38:00,2064,,2,submitted,s0rq_037_p05.pbs
2016[Cu][nbo]3[ASR]23,stage0,claim,10000,50000,s0rq_038_p65,46:38:00,2064,,2,submitted,s0rq_038_p65.pbs
2014[Cd][nan]3[ASR]3,stage0,claim,10000,50000,s0rq_039_p05,47:00:00,2080,,2,submitted,s0rq_039_p05.pbs
2014[Cd][nan]3[ASR]3,stage0,claim,10000,50000,s0rq_040_p65,47:00:00,2080,,2,submitted,s0rq_040_p65.pbs
2019[Co][nan]2[ASR]1,stage0,claim,10000,50000,s0rq_041_p05,47:11:00,2088,,2,submitted,s0rq_041_p05.pbs
2019[Co][nan]2[ASR]1,stage0,claim,10000,50000,s0rq_042_p65,47:11:00,2088,,2,submitted,s0rq_042_p65.pbs
2015[Yb][rob]3[ASR]1,stage0,claim,10000,50000,s0rq_043_p05,47:22:00,2096,,2,submitted,s0rq_043_p05.pbs
2015[Yb][rob]3[ASR]1,stage0,claim,10000,50000,s0rq_044_p65,47:22:00,2096,,2,submitted,s0rq_044_p65.pbs
2014[Co][nan]3[FSR]27,stage0,claim,10000,50000,s0rq_045_p05,47:35:00,2106,,2,submitted,s0rq_045_p05.pbs
