# Figure-4 INTERIM export. One row per structure with BOTH pressure legs ok.
# exported            : 2026-09-06T06:52:41Z  (2026-09-06 15:52 KST, cluster clock)
# source              : logs/fig4.runs + RASPA .data on dirac-bei, joined to
#                       screen/fig4_ledger.csv (cycles) and harness/fig4_submit.py
#                       load_queue() (segment). Read-only; nothing was submitted.
# units               : N65, N5_8, working_capacity, uncertainty, agent_value are all
#                       cm^3 (STP)/cm^3 framework. N65 is 65 bar, N5_8 is 5.8 bar,
#                       working_capacity = N65 - N5_8, uncertainty = legs in quadrature.
#
# per-segment completion   both legs ok / structures in segment   ->  rows exported
#   sample             1497 /   1500  ( 99.8%)            1497
#   descriptor_tail     847 /    858  ( 98.7%)             847
#   agent_tail          124 /    571  ( 21.7%)             124
#   claims                0 /      2  (  0.0%)               0
#   TOTAL              2468 /   2931            2468
#   Segments are OPEN. These rows are a subsample of each segment, so the top of this
#   file is not the top of the segment: an interim view, not a result.
#
# note: 76 structure(s) appear on MORE THAN ONE ROW because they are in
#   the queue at two grades, which are two separate measurements at different cycle
#   counts. Key on (structure_id, segment), not on structure_id: 0000[Cu][tbo]3[ASR]1, 0000[Cu][tbo]3[ASR]2, 0000[Er][lcy]3[ASR]1, 0000[Er][nan]3[ASR]1, 0000[Lu][lcy]3[ASR]1, ...
# note: 46 ok run(s) in logs/fig4.runs belong to no Figure-4 queue segment
#   (the Stage-0 ppn=1 requeue writes to the same log) and are excluded.
# agent_value is the HIGHEST agent-reported deliverable_capacity for that structure in
#   analysis/fig2_claims_long.csv, and agent_run the run that reported it. EMPTY MEANS
#   UNCLAIMED, NOT ZERO. It is the top of a band, not a number: the highest retained
#   claim is 200.125 +/- 0.529 (rep06, 2016[Cu][pts]3[ASR]1), yet 12 runs on that one
#   structure span 198.85-200.12, so the fleet's own spread there is ~1.3 units.
#
# Every line above begins '#' and is header; the CSV header row follows. No structure id
#   contains '#', so pandas.read_csv(path, comment='#') reads this file as-is.
structure_id,segment,init_cycles,production_cycles,N65,N5_8,working_capacity,uncertainty,agent_value,agent_run
2013[Cu][ubt]3[ASR]1,sample,2000,10000,207.171391,53.414377,153.757014,1.025372,,
2013[ZnCr][lon]3[ASR]2,sample,2000,10000,198.819499,45.248290,153.571209,1.409164,,
2009[Cd][nan]3[ASR]1,sample,2000,10000,214.252383,60.689312,153.563070,1.710949,,
2019[Cd][nan]3[ASR]12,sample,2000,10000,239.643361,86.494146,153.149215,1.836761,,
2012[Cu][ths]3[ASR]2,sample,2000,10000,188.076085,35.801929,152.274156,1.785295,,
2021[Eu][fcu]3[FSR]1,sample,2000,10000,190.906597,38.655928,152.250669,1.703759,,
2004[Cr][reo]3[ASR]1,sample,2000,10000,194.495263,42.245305,152.249958,1.804712,,
2020[Zr][nan]3[ASR]1,sample,2000,10000,237.733492,85.487126,152.246367,0.674933,,
2012[Cu][ths]3[ASR]1,sample,2000,10000,187.493807,35.560872,151.932935,1.805145,,
2017[Cu][ths]3[ASR]1,sample,2000,10000,187.851960,36.233693,151.618267,1.873570,,
0000[Cu][ths]3[ASR]2,sample,2000,10000,186.826768,35.852577,150.974191,0.933153,,
0000[DyCu][sqc]3[ASR]1,sample,2000,10000,195.778137,44.936590,150.841547,2.157785,,
2020[Cu][sql]2[ASR]1,sample,2000,10000,234.183612,84.077131,150.106481,1.547081,,
2017[Cu][nan]3[ASR]14,sample,2000,10000,213.725284,63.843211,149.882073,2.023376,,
2017[Cu][nbo]3[ASR]4,sample,2000,10000,250.035501,100.590221,149.445279,1.677539,,
2010[Cu][nts]3[ASR]1,sample,2000,10000,172.427928,23.637295,148.790633,1.419270,,
2011[Ni][nan]3[ASR]1,sample,2000,10000,195.034652,46.371731,148.662921,0.807248,,
2016[In][unc]3[ASR]2,sample,2000,10000,265.542553,117.025765,148.516788,1.872288,,
2022[Zn][nan]3[ASR]7,sample,2000,10000,195.836660,47.769631,148.067029,2.275162,,
2016[Cu][nbo]3[ASR]4,sample,2000,10000,174.316164,26.981757,147.334407,1.986616,,
2020[Cu][sql]2[ASR]18,sample,2000,10000,251.199956,104.086653,147.113302,2.095429,,
2015[Mn][nan]3[ASR]11,sample,2000,10000,214.687154,67.626051,147.061103,1.186455,,
2017[Zr][csq]3[ASR]4,sample,2000,10000,186.681831,39.896384,146.785447,1.699523,,
2016[Ti][srs]3[ASR]1,sample,2000,10000,226.900622,80.395110,146.505512,0.762638,,
0000[Fe][acs]3[ASR]1,sample,2000,10000,216.199008,70.058236,146.140771,1.776318,,
2012[Zn][nan]3[ASR]16,sample,2000,10000,220.075144,75.423916,144.651228,1.152566,,
2023[Cu][pts]3[ION]1,sample,2000,10000,223.827082,79.405975,144.421107,1.645529,,
2011[Cd][scu]3[ASR]1,sample,2000,10000,226.016629,82.005096,144.011533,1.336470,,
2023[Zn][ant]3[ASR]1,sample,2000,10000,212.810497,68.933026,143.877471,1.445548,,
2014[Cu][nan]3[ASR]20,sample,2000,10000,231.533390,88.032392,143.500998,0.844207,,
2010[Dy][pcu]3[ASR]1,sample,2000,10000,225.258019,81.904768,143.353251,1.230026,,
2017[IrHf][she]3[ASR]1,sample,2000,10000,173.544688,30.222002,143.322687,1.212606,,
2007[CuMn][pcu]3[ASR]1,sample,2000,10000,166.333004,23.305164,143.027840,1.978217,,
2019[Co][nan]3[ASR]15,sample,2000,10000,224.105317,81.439932,142.665385,2.889372,,
2014[Cu][nan]3[ASR]21,sample,2000,10000,230.709145,88.295980,142.413165,1.729886,,
2013[CuMn][nan]3[ASR]1,sample,2000,10000,178.627547,36.650802,141.976745,1.665782,,
2014[Cu][nan]3[ASR]26,sample,2000,10000,231.166334,89.250909,141.915425,0.990972,,
2014[Co][nan]3[ASR]6,sample,2000,10000,220.151466,78.326950,141.824516,1.415035,,
2019[Cu][pts]3[ASR]2,sample,2000,10000,233.582328,91.796941,141.785387,2.720659,,
2016[Cd][nan]3[ASR]7,sample,2000,10000,221.860316,80.077824,141.782492,1.499095,,
2008[Zn][ant]3[ASR]1,sample,2000,10000,210.716265,69.121347,141.594918,2.721619,,
2017[Co][nan]3[ASR]8,sample,2000,10000,222.675193,81.258123,141.417070,1.390439,,
2016[Cu][fsc]3[ASR]1,sample,2000,10000,224.325808,82.971810,141.353998,2.831660,,
2017[Tm][nan]3[ASR]1,sample,2000,10000,231.608381,90.349153,141.259228,3.945997,,
2013[ZnCr][lon]3[ASR]7,sample,2000,10000,211.686400,70.556837,141.129563,1.057767,,
2023[Fe][xmz]3[ASR]5,sample,2000,10000,236.100778,95.025962,141.074815,2.495427,,
2017[Co][nan]3[ASR]20,sample,2000,10000,223.703298,83.037236,140.666062,1.245079,,
2021[Ni][nan]3[ASR]4,sample,2000,10000,223.558483,84.046664,139.511819,0.853145,,
2008[Ni][nan]3[ASR]3,sample,2000,10000,220.920531,82.142282,138.778249,0.769556,,
2017[Ag][sqc]2[ASR]1,sample,2000,10000,195.965587,57.430750,138.534838,2.370190,,
2020[Co][nan]3[ASR]24,sample,2000,10000,211.496654,73.047393,138.449261,1.067876,,
2019[Co][sql]2[ASR]4,sample,2000,10000,237.211451,98.777799,138.433652,3.378843,,
2004[Ag][pts]3[ASR]1,sample,2000,10000,239.834172,102.010512,137.823660,1.822399,,
2015[CuCe][srs]3[FSR]1,sample,2000,10000,155.030623,18.520069,136.510554,1.082242,,
2012[FeZr][csq]3[ASR]2,sample,2000,10000,176.370867,40.367534,136.003334,1.551412,,
2016[Th][gfy]3[ASR]1,sample,2000,10000,196.606116,61.052134,135.553981,1.431185,,
2022[U][hcb]2[ASR]1,sample,2000,10000,184.579802,49.105119,135.474683,1.833405,,
2018[Co][nan]3[ASR]5,sample,2000,10000,210.058367,74.818786,135.239581,1.380765,,
0000[CuZr][flu]3[ASR]1,sample,2000,10000,192.506813,57.321362,135.185451,0.933037,,
2024[Zn][pcu]3[FSR]2,sample,2000,10000,204.569452,69.478425,135.091027,1.482394,,
2013[ZnCr][lon]3[ASR]5,sample,2000,10000,196.829507,62.426870,134.402637,0.885280,,
2015[CrMn][noa]3[FSR]1,sample,2000,10000,151.387669,17.005680,134.381989,1.174540,,
2019[Al][fon]3[ASR]2,sample,2000,10000,227.898645,93.526729,134.371916,1.304343,,
2014[Co][nan]3[ASR]25,sample,2000,10000,206.336062,73.264632,133.071430,1.067152,,
2013[ZnCr][lon]3[ASR]1,sample,2000,10000,196.481721,63.505713,132.976008,1.905487,,
2012[MnNaCu][nan]3[ION]1,sample,2000,10000,163.144330,30.225568,132.918761,1.200598,,
2018[Co][nan]3[ASR]9,sample,2000,10000,208.505133,75.784309,132.720824,1.888479,,
2021[Zn][dia]3[ASR]2,sample,2000,10000,209.614011,77.067951,132.546059,1.602605,,
2011[Nd][rob]3[ASR]3,sample,2000,10000,197.775095,65.882845,131.892250,1.326624,,
2014[Cd][pcu]3[ASR]7,sample,2000,10000,209.222699,77.419565,131.803135,1.766265,,
2017[Al][skl]3[ASR]3,sample,2000,10000,244.154270,112.620214,131.534056,1.496533,,
2019[CrZr][csq]3[ASR]1,sample,2000,10000,180.683221,49.521835,131.161386,1.857998,,
2012[ZnCu][idp]3[ASR]1,sample,2000,10000,217.740749,86.756075,130.984675,1.246372,,
2017[Cu][pts]3[ASR]2,sample,2000,10000,234.946915,103.988874,130.958041,2.665013,,
2012[FeZr][csq]3[FSR]1,sample,2000,10000,173.827933,43.895622,129.932311,1.166205,,
2021[Ce][nan]3[ASR]2,sample,2000,10000,184.162560,55.292667,128.869893,1.044174,,
2014[Eu][nan]3[ASR]8,sample,2000,10000,221.286112,92.773332,128.512781,1.423333,,
2022[Co][sit]3[ASR]1,sample,2000,10000,230.132966,102.641473,127.491494,1.373187,,
2021[Cu][ssb]3[ASR]1,sample,2000,10000,240.063195,112.694958,127.368237,2.618234,,
2021[Co][nan]3[ASR]11,sample,2000,10000,171.310936,44.112450,127.198487,1.045992,,
2015[Cu][nan]3[ASR]3,sample,2000,10000,209.787861,82.987986,126.799875,1.625070,,
2022[Zn][nan]3[ASR]22,sample,2000,10000,201.305561,74.584585,126.720976,1.018276,,
2010[Co][nan]3[ASR]4,sample,2000,10000,212.431885,86.014423,126.417462,1.333971,,
2014[Cd][pcu]3[ASR]6,sample,2000,10000,205.904298,79.638759,126.265539,2.477332,,
2017[In][pts]3[ASR]2,sample,2000,10000,252.123446,126.140307,125.983139,1.730709,,
2023[In][neb]3[ASR]3,sample,2000,10000,217.978380,92.593311,125.385069,1.585894,,
2019[Zr][flu]3[ASR]3,sample,2000,10000,233.137264,107.883426,125.253837,0.819130,,
2013[Zn][idp]3[ASR]1,sample,2000,10000,200.474084,75.676444,124.797641,2.001582,,
2015[Fe][pts]3[ASR]4,sample,2000,10000,213.548862,88.878957,124.669905,3.174945,,
2020[Ni][nan]3[FSR]3,sample,2000,10000,224.306252,100.065243,124.241009,0.711299,,
2008[Zn][pcu]3[ASR]7,sample,2000,10000,219.909627,96.330181,123.579446,1.798282,,
0000[Co][sit]3[ASR]1,sample,2000,10000,232.425057,109.396204,123.028854,2.784121,,
2017[Cu][pts]3[FSR]1,sample,2000,10000,229.371162,106.480379,122.890783,1.303205,,
2010[Fe][bpq]3[FSR]3,sample,2000,10000,224.609219,102.075249,122.533970,2.056225,,
2008[Zn][srs]3[ASR]8,sample,2000,10000,198.585523,77.301995,121.283529,1.880379,,
2023[CuPt][fof]3[ASR]1,sample,2000,10000,188.506049,67.251066,121.254983,1.649769,,
2014[Cu][nan]3[ASR]6,sample,2000,10000,193.339730,72.979669,120.360061,1.201551,,
0000[Cu][tbo]3[ASR]1,sample,2000,10000,133.609388,13.947703,119.661685,0.615739,,
2021[Nd][lvt]3[ASR]1,sample,2000,10000,200.107456,80.458634,119.648822,2.078021,,
2009[Cd][rho]3[ASR]1,sample,2000,10000,151.051219,31.785997,119.265222,0.475112,,
2017[Zn][nbo]3[ASR]2,sample,2000,10000,222.813989,103.649891,119.164098,2.018639,,
2023[CuMo][nan]2[ASR]1,sample,2000,10000,154.298885,35.534146,118.764739,1.776411,,
2022[Cu][tbo]3[FSR]7,sample,2000,10000,200.807045,82.295545,118.511500,2.113811,,
2018[Cd][nan]3[ASR]6,sample,2000,10000,207.569483,89.175849,118.393634,2.200531,,
2014[Zn][rtl]3[ASR]2,sample,2000,10000,214.299219,96.139725,118.159494,1.678978,,
2001[Zn][sit]3[ASR]1,sample,2000,10000,218.492264,100.347139,118.145126,1.205950,,
2011[Cu][bcu]3[ASR]1,sample,2000,10000,196.859005,78.896272,117.962732,2.054011,,
2007[Zn][nan]3[ASR]9,sample,2000,10000,180.775457,63.000435,117.775022,2.201004,,
2008[Zn][srs]3[ASR]1,sample,2000,10000,199.910884,82.208570,117.702314,1.498980,,
2020[Fe][nan]3[ASR]1,sample,2000,10000,194.277789,77.347011,116.930778,2.438090,,
2016[Co][nan]3[FSR]25,sample,2000,10000,175.594619,58.715529,116.879090,1.563512,,
2012[Zn][fsc]3[ASR]1,sample,2000,10000,210.472814,93.715790,116.757024,2.388860,,
0000[Co][nan]3[ASR]15,sample,2000,10000,201.490208,85.297503,116.192705,0.997342,,
2014[Zn][srs]3[ASR]2,sample,2000,10000,195.372286,79.556374,115.815912,1.964447,,
2014[Zn][nan]3[ASR]3,sample,2000,10000,195.875637,80.121024,115.754613,2.788763,,
2012[Co][msq]3[ASR]1,sample,2000,10000,229.874537,114.133303,115.741235,3.921703,,
2010[Zn][srs]3[ASR]2,sample,2000,10000,196.197231,80.464656,115.732575,3.119357,,
2021[Zn][nan]3[ASR]10,sample,2000,10000,213.764097,98.165526,115.598571,0.978546,,
2022[Cu][tbo]3[FSR]3,sample,2000,10000,201.086870,85.673093,115.413777,1.891569,,
2020[Co][nan]3[ASR]9,sample,2000,10000,233.685237,118.323694,115.361544,2.010600,,
2015[Yb][nan]3[ASR]2,sample,2000,10000,225.725644,110.528885,115.196759,0.806181,,
2011[Zn][srs]3[ASR]8,sample,2000,10000,197.604928,82.433399,115.171529,1.802652,,
2011[U][gfy]3[FSR]1,sample,2000,10000,171.867214,56.799566,115.067648,1.745353,,
2013[Tb][dia]3[ASR]1,sample,2000,10000,176.394101,61.520978,114.873124,1.678626,,
2016[Cu][tbo]3[ASR]4,sample,2000,10000,190.890593,76.156228,114.734365,2.106642,,
2016[Th][gfy]3[FSR]1,sample,2000,10000,170.672313,56.181839,114.490474,1.725193,,
2010[Zn][srs]3[ASR]3,sample,2000,10000,193.341479,79.194877,114.146602,2.250504,,
2005[Zn][srs]3[ASR]6,sample,2000,10000,192.710284,78.643746,114.066537,2.288756,,
2022[Eu][pts]3[ASR]1,sample,2000,10000,203.242786,89.261656,113.981129,1.289094,,
2021[Zn][nan]3[ASR]8,sample,2000,10000,202.371487,88.762933,113.608554,2.369701,,
2013[Ni][nan]3[ASR]2,sample,2000,10000,219.627746,106.270161,113.357585,2.661049,,
2005[Zn][srs]3[ASR]8,sample,2000,10000,190.503517,77.268904,113.234613,2.472611,,
2008[Zn][srs]3[ASR]6,sample,2000,10000,193.914829,80.860092,113.054737,2.286346,,
2016[Mn][tbo]3[ASR]1,sample,2000,10000,186.838880,74.469888,112.368992,1.864021,,
2019[Zn][bcg]3[ASR]1,sample,2000,10000,199.547217,87.597171,111.950046,1.676027,,
0000[Co][rho]3[ASR]1,sample,2000,10000,151.565641,39.767368,111.798273,0.771883,,
2019[Fe][ant]3[ASR]1,sample,2000,10000,228.118663,116.353451,111.765212,1.774601,,
2007[Cu][nbo]3[ASR]2,sample,2000,10000,228.841927,117.463053,111.378874,1.074908,,
2021[Hf][sqc]3[FSR]1,sample,2000,10000,217.974773,106.746609,111.228165,0.937321,,
2010[Nd][nan]3[ASR]3,sample,2000,10000,189.439915,78.267230,111.172684,1.749088,,
2016[Co][tbo]3[FSR]1,sample,2000,10000,189.716625,78.734583,110.982042,2.258082,,
2021[Zn][nan]3[ASR]12,sample,2000,10000,200.127312,89.264819,110.862493,1.667383,,
2023[In][nht]3[ASR]1,sample,2000,10000,220.451416,110.042644,110.408772,1.252321,,
2019[Cu][nan]3[FSR]5,sample,2000,10000,188.505854,78.159072,110.346783,1.824522,,
2020[Co][nbo]3[ASR]1,sample,2000,10000,171.809801,61.499277,110.310524,0.888264,,
2011[Zn][srs]3[ASR]1,sample,2000,10000,188.097553,78.123409,109.974144,1.816332,,
2019[Cd][nan]3[ASR]11,sample,2000,10000,195.118847,85.226582,109.892264,2.868160,,
2020[Zn][tfz]3[ASR]1,sample,2000,10000,195.425925,85.702171,109.723754,1.586142,,
2012[Ag][nbo]3[ION]1,sample,2000,10000,174.911781,65.344828,109.566953,0.601825,,
2022[Cu][sql]2[FSR]3,sample,2000,10000,197.334918,88.075802,109.259117,3.632805,,
2020[Tb][nan]3[ASR]5,sample,2000,10000,176.186444,66.974223,109.212221,2.806641,,
2017[Fe][kag]3[ASR]1,sample,2000,10000,186.884356,77.908135,108.976222,1.739644,,
2015[Zr][fcu]3[ASR]1,sample,2000,10000,183.466977,74.741702,108.725276,6.234785,,
2009[Cd][nan]3[ASR]3,sample,2000,10000,226.895317,118.182845,108.712472,2.819080,,
2015[Zn][dia]3[ASR]6,sample,2000,10000,213.133044,104.581482,108.551561,0.972700,,
2006[Cu][nan]2[ASR]1,sample,2000,10000,209.925070,101.763137,108.161934,1.241190,,
2016[CuSi][pcu]2[ASR]1,sample,2000,10000,210.689304,102.528432,108.160872,1.572427,,
2017[Cu][nan]3[ASR]4,sample,2000,10000,157.789696,49.774106,108.015591,2.343311,,
2016[Co][pts]3[ASR]6,sample,2000,10000,189.888895,82.316418,107.572476,4.197060,,
2019[Zn][pyr]3[ASR]1,sample,2000,10000,204.199912,96.718525,107.481387,2.022991,,
2012[Co][ncb]3[ASR]1,sample,2000,10000,219.428703,112.048359,107.380344,2.450137,,
2013[Zn][ths]3[ASR]7,sample,2000,10000,171.947922,64.579134,107.368789,1.224513,,
2013[Zn][ths]3[ASR]8,sample,2000,10000,171.276391,64.103083,107.173308,2.518369,,
2020[U][hcb]2[FSR]3,sample,2000,10000,133.511332,26.539163,106.972169,1.948818,,
2019[Co][nan]3[ASR]3,sample,2000,10000,206.737875,99.872183,106.865693,0.985827,,
2012[ZnU][nan]3[ASR]1,sample,2000,10000,163.947197,57.188060,106.759137,3.113028,,
2021[Mn][dia]3[ASR]1,sample,2000,10000,210.360439,103.628744,106.731695,1.308340,,
2014[Ag][mtn]3[ASR]2,sample,2000,10000,224.106500,117.679502,106.426998,1.926400,,
