# UNATTESTED. Post-seal read-only pull from bnode0 2026-09-02T12:0xZ. Outside the sealed 16/16 attestation; nothing attests these bytes are unchanged since the campaign. Workspace data postdates the filed REPORT.md, so row counts DO NOT match filed totals -- see the filed_total / count_matches_filed columns. Skip this line when parsing.
rep,arm,parent,child,ligands_removed,parent_natoms,child_natoms,density,volume,parent_wc,child_wc,delta,fidelity,source_file,source_sha256,pulled_at,attestation,workspace_mtime,filed_total,count_matches_filed
rep15,ungated,2007[Zn][dia]3[FSR]6,2007[Zn][dia]3[FSR]6+DEAQ,4,228,216,1.13,3625.164,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2008[Ag][nan]3[FSR]4,2008[Ag][nan]3[FSR]4+DEAQ,6,154,136,2.01,1595.841,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2008[GdCo][nan]3[FSR]1,2008[GdCo][nan]3[FSR]1+DEAQ,6,238,220,1.95,3134.535,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2008[U][fsc]3[FSR]1,2008[U][fsc]3[FSR]1+DEAQ,4,64,52,3.04,838.576,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2008[Zn][nan]3[FSR]13,2008[Zn][nan]3[FSR]13+DEAQ,6,72,54,1.22,1327.590,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2009[LaCu][nan]3[FSR]1,2009[LaCu][nan]3[FSR]1+DEAQ,8,124,100,2.04,1525.142,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[CdCo][nan]3[FSR]1,2010[CdCo][nan]3[FSR]1+DEAQ,4,156,144,1.73,2007.428,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[CoDy][nan]3[FSR]1,2010[CoDy][nan]3[FSR]1+DEAQ,12,226,190,1.61,3075.223,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[CoEu][nan]3[FSR]1,2010[CoEu][nan]3[FSR]1+DEAQ,12,226,190,1.57,3114.706,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[La][flu]3[FSR]5,2010[La][flu]3[FSR]5+DEAQ,4,72,60,1.47,991.154,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[TbAg][nan]3[FSR]2,2010[TbAg][nan]3[FSR]2+DEAQ,4,152,140,1.96,1930.817,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2010[Zn][jeb]3[FSR]1,2010[Zn][jeb]3[FSR]1+DEAQ,4,129,117,1.31,1368.230,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Cd][nan]3[FSR]7,2011[Cd][nan]3[FSR]7+DEAQ,4,146,134,1.84,1740.044,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Cd][nan]3[FSR]9,2011[Cd][nan]3[FSR]9+DEAQ,6,264,246,1.97,3547.138,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Cd][sql]2[FSR]1,2011[Cd][sql]2[FSR]1+DEAQ,4,120,108,1.81,1398.547,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Cd][sra]3[FSR]1,2011[Cd][sra]3[FSR]1+DEAQ,4,112,100,1.74,1355.474,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[CoDy][nan]3[FSR]1,2011[CoDy][nan]3[FSR]1+DEAQ,12,226,190,1.60,3104.068,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[CoEu][nan]3[FSR]1,2011[CoEu][nan]3[FSR]1+DEAQ,12,226,190,1.57,3112.682,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[CoNd][stp]3[FSR]1,2011[CoNd][stp]3[FSR]1+DEAQ,12,202,166,1.37,3039.960,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Co][nan]3[FSR]11,2011[Co][nan]3[FSR]11+DEAQ,4,432,420,1.36,5694.218,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Co][qzd]3[FSR]1,2011[Co][qzd]3[FSR]1+DEAQ,6,246,228,1.19,3477.345,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[CuNd][jaj]3[FSR]1,2011[CuNd][jaj]3[FSR]1+DEAQ,12,216,180,1.44,2926.938,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[FeHo][nan]3[FSR]1,2011[FeHo][nan]3[FSR]1+DEAQ,12,226,190,1.58,3119.209,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[GdZn][nan]3[FSR]1,2011[GdZn][nan]3[FSR]1+DEAQ,8,144,120,1.89,1901.354,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[LaMg][nan]3[FSR]1,2011[LaMg][nan]3[FSR]1+DEAQ,12,226,190,1.39,3213.908,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Mn][nan]2[FSR]1,2011[Mn][nan]2[FSR]1+DEAQ,16,300,252,1.45,3566.253,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Mn][pcu]3[FSR]2,2011[Mn][pcu]3[FSR]2+DEAQ,2,66,60,1.21,882.686,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[NiDy][sra]3[FSR]1,2011[NiDy][sra]3[FSR]1+DEAQ,4,408,396,1.40,5127.124,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Ni][cds]3[FSR]1,2011[Ni][cds]3[FSR]1+DEAQ,4,152,140,1.19,1755.967,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Zn][hcb]2[FSR]1,2011[Zn][hcb]2[FSR]1+DEAQ,6,118,100,1.43,1458.971,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Zn][hcb]2[FSR]2,2011[Zn][hcb]2[FSR]2+DEAQ,6,118,100,1.44,1446.327,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2011[Zn][nan]2[FSR]1,2011[Zn][nan]2[FSR]1+DEAQ,4,272,260,1.45,3030.928,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[CoPr][nan]3[FSR]1,2012[CoPr][nan]3[FSR]1+DEAQ,4,198,186,2.00,2412.929,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[Co][jeb]3[FSR]1,2012[Co][jeb]3[FSR]1+DEAQ,6,165,147,1.19,1867.487,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[Co][lon]3[FSR]1,2012[Co][lon]3[FSR]1+DEAQ,6,118,100,0.61,3281.263,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[Co][nbo]3[FSR]1,2012[Co][nbo]3[FSR]1+DEAQ,2,90,84,1.31,1127.800,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[Co][pts]3[FSR]2,2012[Co][pts]3[FSR]2+DEAQ,4,76,64,1.09,1120.587,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[GdCo][nan]3[FSR]1,2012[GdCo][nan]3[FSR]1+DEAQ,40,1320,1200,1.59,17048.382,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[LaNi][scn]3[FSR]1,2012[LaNi][scn]3[FSR]1+DEAQ,4,77,65,1.83,911.994,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[Ni][sqc]3[FSR]1,2012[Ni][sqc]3[FSR]1+DEAQ,2,123,117,1.31,1547.187,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[SmCo][nan]3[FSR]1,2012[SmCo][nan]3[FSR]1+DEAQ,4,198,186,2.04,2390.671,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2012[ZnDy][nan]3[FSR]2,2012[ZnDy][nan]3[FSR]2+DEAQ,8,174,150,1.25,2964.134,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2013[CoPr][nan]3[FSR]1,2013[CoPr][nan]3[FSR]1+DEAQ,48,936,792,1.47,11858.407,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2013[Co][jeb]3[FSR]1,2013[Co][jeb]3[FSR]1+DEAQ,24,264,192,1.46,2788.991,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2013[Co][mog]3[FSR]1,2013[Co][mog]3[FSR]1+DEAQ,20,190,130,1.05,2547.621,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
