rep,arm,structure_as_named,stated_value,stated_error,is_runner_up,value_kind,tag,answer_key_status,answer_key_reason,source_section,verbatim_locus
rep09,ungated,2013[Cu][nbo]3,254.73,,no,"N(65 bar) uptake, not working capacity",prose-derived,database-clean,,§4,"""about six structures (N65 from 244.97 to 254.73, led by 4185 2013[Cu][nbo]3 at 254.73 and 8368 2017[Zr][scu]3 at 253.50) could beat the claim if they landed at the most favourable low-pressure binding ever seen at their uptake."""
rep09,ungated,2017[Zr][scu]3,253.50,,no,"N(65 bar) uptake, not working capacity",prose-derived,database-clean,,§4,"same sentence as the row above; a candidate that could beat the claim, not a measured runner-up."
rep12,gated,2016[Cu][pts]3[ASR]1,199.98,0.42,yes,"working capacity, claim grade",prose-derived,database-clean,,§1,"""Runner-up, also claim-grade and G6-reproduced: 2016[Cu][pts]3[ASR]1, 199.98 +/- 0.42 (runs 199.871 +/- 0.621 and 200.094 +/- 0.581, 0.26 sigma apart)."""
rep12,gated,2011[Cd][rtl]3[ASR]1,120.0,,no,working capacity of a surrogate outlier,prose-derived,database-clean,,§4,"""The +91.4 residual belongs to 2011[Cd][rtl]3[ASR]1 at surrogate 28.6, measured 120.0 -- a structure the surrogate badly underrates."" Cited as a residual, not as a competitor."
rep13,gated,2013[Yb][nia]3[ASR]1,196.265,0.080 (SD),yes,"working capacity, claim grade, 3 runs",prose-derived,database-clean,,§1,"""Its closest rival 2013_Yb_nia_3_ASR_1, also measured three times (mean 196.265, SD 0.080), is beaten by 1.084 +/- 0.107, Welch t = 10.1, p ~ 0.003."""
rep13,gated,2007[Zn][pcu]3[ASR]5,190.83,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2007_Zn_pcu_3_ASR_5 | 189.87 | 190.83 | +0.96 |"" -- columns are floor, claim-grade, delta."
rep13,gated,2007[Zn][pcu]3[ASR]3,190.09,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2007_Zn_pcu_3_ASR_3 | 190.12 | 190.09 | -0.03 |"""
rep13,gated,2005[Cu][pts]3[ASR]2,187.12,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2005_Cu_pts_3_ASR_2 | 187.52 | 187.12 | -0.40 |"""
rep13,gated,2005[Cu][lvt]3[ASR]1,187.00,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2005_Cu_lvt_3_ASR_1 | 186.85 | 187.00 | +0.15 |"""
rep13,gated,2002[Zn][pcu]3[ASR]1,186.15,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2002_Zn_pcu_3_ASR_1 | 186.25 | 186.15 | -0.10 |"""
rep13,gated,2005[Zn][pcu]3[ASR]6,186.12,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2005_Zn_pcu_3_ASR_6 | 185.90 | 186.12 | +0.23 |"""
rep13,gated,2009[Cu][pts]3[ASR]2,185.78,,yes,"working capacity, claim grade",prose-derived,database-clean,,§4 floor-vs-claim table,"""| 2009_Cu_pts_3_ASR_2 | 185.81 | 185.78 | -0.03 |"""
rep15,ungated,2021[Cu][sql]2[ASR]6,207.07,,no,working capacity (same framework as champion),prose-derived,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",§4 results block,"""2021[Cu][sql]2[ASR]6 0 243.86 36.79 207.07 <- separate input & job""; and in the floor block ""207.07 2021[Cu][sql]2[ASR]6 same framework, separate input, separate job"". rep15 states it is the same framework as its champion."
rep15,ungated,2016[Cu][pts]3[ASR]1,199.87,none stated,yes,"working capacity, claim grade, single seed",prose-derived,database-clean,,§4,"""2016[Cu][pts]3[ASR]1 0 243.69 43.82 199.87""; prose: ""The runner-up 2016[Cu][pts]3[ASR]1 has a single claim-grade seed, so its 199.87 carries no measured interval of its own."" Floor-grade value 199.45 in the value-before-name block."
rep15,ungated,2015[V][srs]3[FSR]1,197.20,,yes,"working capacity, floor grade",prose-derived,database-clean,,§4 floor block,"""197.20 2015[V][srs]3[FSR]1"" -- VALUE PRECEDES NAME in this block."
rep15,ungated,2015[V][srs]3[ASR]1,197.19,,yes,"working capacity, floor grade",prose-derived,database-clean,,§4 floor block,"""197.19 2015[V][srs]3[ASR]1 same framework, separate input, separate job"" -- value precedes name."
rep15,ungated,2021[Al][nan]3[ASR]24,195.51,,yes,"working capacity, floor grade",prose-derived,database-clean,,§4 floor block,"""195.51 2021[Al][nan]3[ASR]24"" -- value precedes name."
rep15,ungated,2013[Ni][nia]3[ASR]1,194.28,,yes,"working capacity, floor grade",prose-derived,database-clean,,§4 floor block,"""194.28 2013[Ni][nia]3[ASR]1"" -- value precedes name."
rep15,ungated,2015[Zn][ith]3[ASR]1,190.65,,yes,"working capacity, floor grade",prose-derived,database-clean,,§4 floor block,"""190.65 2015[Zn][ith]3[ASR]1"" -- value precedes name; last entry in the block."
rep15,ungated,2020[Al][fmz]3[ASR]1,175.9,,no,working capacity (counter-example),prose-derived,database-clean,,§3,"""the largest N(65) in the database, 268.34 (2020[Al][fmz]3[ASR]1), 24 above the leader's, returns a working capacity of only 175.9, because it holds 92.5 at 5.8 bar."""
rep17,ungated,2016[Cu][pts]3[ASR]1,199.90,0.38,yes,"working capacity, claim grade, 3 seeds",prose-derived,database-clean,,§1,"""The runner-up, 2016[Cu][pts]3[ASR]1, is 199.90 +/- 0.38 at the same cycle count with three seeds of its own -- a margin of 7.17 +/- 0.53."""
rep17,ungated,2021[ZnIn][nan]3[ASR]1,136.53,,no,working capacity of a Gate-A survivor,prose-derived,database-clean,,§3,"""...the margin being the worst cross-validated error in the calibration set rather than a typical one. One structure: 2021[ZnIn][nan]3[ASR]1, measured 136.53."""
rep17,ungated,2015[Zr][spn]3[ASR]1,97.24,,no,"working capacity (largest void fraction, not a competitor)",prose-derived,database-clean,,§3,"""The most dangerous structure in the campaign -- 2015[Zr][spn]3[ASR]1, the largest void fraction in the database at 0.932, allowed 230.5 -- delivered 97.24: the biggest pore measured and nearly the worst capacity."" 230.5 is an allowed bound, 97.24 the measurement."
